sensor,time,value
Velocity,Jan 2000,39.81
Velocity,Feb 2000,36.35
Velocity,Mar 2000,43.22
Velocity,Apr 2000,28.37
Velocity,May 2000,25.45
Velocity,Jun 2000,32.54
Velocity,Jul 2000,28.4
Velocity,Aug 2000,28.4
Velocity,Sep 2000,24.53
Velocity,Oct 2000,28.02
Velocity,Nov 2000,23.34
Velocity,Dec 2000,17.65
Velocity,Jan 2001,24.84
Velocity,Feb 2001,24
Velocity,Mar 2001,22.25
Velocity,Apr 2001,27.56
Velocity,May 2001,28.14
Velocity,Jun 2001,29.7
Velocity,Jul 2001,26.93
Velocity,Aug 2001,23.21
Velocity,Sep 2001,20.82
Velocity,Oct 2001,23.65
Velocity,Nov 2001,26.12
Velocity,Dec 2001,26.95
Velocity,Jan 2002,25.92
Velocity,Feb 2002,23.73
Velocity,Mar 2002,24.53
Velocity,Apr 2002,21.26
Velocity,May 2002,20.71
Velocity,Jun 2002,22.25
Velocity,Jul 2002,19.52
Velocity,Aug 2002,19.97
Velocity,Sep 2002,17.79
Velocity,Oct 2002,21.75
Velocity,Nov 2002,23.46
Velocity,Dec 2002,21.03
Velocity,Jan 2003,19.31
Velocity,Feb 2003,19.34
Velocity,Mar 2003,19.76
Velocity,Apr 2003,20.87
Velocity,May 2003,20.09
Velocity,Jun 2003,20.93
Velocity,Jul 2003,21.56
Velocity,Aug 2003,21.65
Velocity,Sep 2003,22.69
Velocity,Oct 2003,21.45
Velocity,Nov 2003,21.1
Velocity,Dec 2003,22.46
Velocity,Jan 2004,22.69
Velocity,Feb 2004,21.77
Velocity,Mar 2004,20.46
Velocity,Apr 2004,21.45
Velocity,May 2004,21.53
Velocity,Jun 2004,23.44
Velocity,Jul 2004,23.38
Velocity,Aug 2004,22.47
Velocity,Sep 2004,22.76
Velocity,Oct 2004,23.02
Velocity,Nov 2004,24.6
Velocity,Dec 2004,24.52
Velocity,Jan 2005,24.11
Velocity,Feb 2005,23.15
Velocity,Mar 2005,22.24
Velocity,Apr 2005,23.28
Velocity,May 2005,23.82
Velocity,Jun 2005,22.93
Velocity,Jul 2005,23.64
Velocity,Aug 2005,25.35
Velocity,Sep 2005,23.83
Velocity,Oct 2005,23.8
Velocity,Nov 2005,25.71
Velocity,Dec 2005,24.29
Velocity,Jan 2006,26.14
Velocity,Feb 2006,25.04
Velocity,Mar 2006,25.36
Velocity,Apr 2006,22.5
Velocity,May 2006,21.19
Velocity,Jun 2006,21.8
Velocity,Jul 2006,22.51
Velocity,Aug 2006,24.13
Velocity,Sep 2006,25.68
Velocity,Oct 2006,26.96
Velocity,Nov 2006,27.66
Velocity,Dec 2006,28.13
Velocity,Jan 2007,29.07
Velocity,Feb 2007,26.63
Velocity,Mar 2007,26.35
Velocity,Apr 2007,28.3
Velocity,May 2007,29.11
Velocity,Jun 2007,27.95
Velocity,Jul 2007,27.5
Velocity,Aug 2007,27.34
Velocity,Sep 2007,28.04
Velocity,Oct 2007,35.03
Velocity,Nov 2007,32.09
Velocity,Dec 2007,34
Velocity,Jan 2008,31.13
Velocity,Feb 2008,26.07
Velocity,Mar 2008,27.21
Velocity,Apr 2008,27.34
Velocity,May 2008,27.25
Velocity,Jun 2008,26.47
Velocity,Jul 2008,24.75
Velocity,Aug 2008,26.36
Velocity,Sep 2008,25.78
Velocity,Oct 2008,21.57
Velocity,Nov 2008,19.66
Velocity,Dec 2008,18.91
Velocity,Jan 2009,16.63
Velocity,Feb 2009,15.81
Velocity,Mar 2009,17.99
Velocity,Apr 2009,19.84
Velocity,May 2009,20.59
Velocity,Jun 2009,23.42
Velocity,Jul 2009,23.18
Velocity,Aug 2009,24.43
