sensor,time,value
run_1_22-22-01,21:57:24,8.11993503571
run_1_22-22-01,21:57:26,-9.21762752533
run_1_22-22-01,21:57:28,-11.9075803757
run_1_22-22-01,21:57:30,6.69215583801
run_1_22-22-01,21:57:32,42.360584259
run_1_22-22-01,21:57:34,-15.5171327591
run_1_22-22-01,21:57:36,44.4630279541
run_1_22-22-01,21:57:38,20.1391868591
run_1_22-22-01,21:57:40,-2.99357867241
run_1_22-22-01,21:57:42,7.98647928238
run_1_22-22-01,21:57:44,47.9326553345
run_1_22-22-01,21:57:46,46.9752082825
run_1_22-22-01,21:57:48,-14.8392219543
run_1_22-22-01,21:57:50,-42.4101524353
run_1_22-22-01,21:57:52,19.5004749298
run_1_22-22-01,21:57:54,42.2636451721
run_1_22-22-01,21:57:56,3.61245751381
run_1_22-22-01,21:57:58,22.7635574341
run_1_22-22-01,21:58:00,-38.0971183777
run_1_22-22-01,21:58:02,20.9996604919
run_1_22-22-01,21:58:04,-14.5654554367
run_1_22-22-01,21:58:06,8.31200122833
run_1_22-22-01,21:58:08,16.2273330688
run_1_22-22-01,21:58:10,-8.5858039856
run_1_22-22-01,21:58:12,-44.9706268311
run_1_22-22-01,21:58:14,-14.5216331482
run_1_22-22-01,21:58:16,-43.5325546265
run_1_22-22-01,21:58:18,-0.652718365192
run_1_22-22-01,21:58:20,8.74237442017
run_1_22-22-01,21:58:22,-48.1217803955
run_1_22-22-01,21:58:24,28.5144042969
run_1_22-22-01,21:58:26,-6.55611801147
run_1_22-22-01,21:58:28,44.268901825
run_1_22-22-01,21:58:30,-46.1819267273
run_1_22-22-01,21:58:32,15.715801239
run_1_22-22-01,21:58:34,6.44150543213
run_1_22-22-01,21:58:36,47.7042808533
run_1_22-22-01,21:58:38,29.4246730804
run_1_22-22-01,21:58:40,-11.7382335663
run_1_22-22-01,21:58:42,49.465133667
run_1_22-22-01,21:58:44,10.0461778641
run_1_22-22-01,21:58:46,17.8806266785
run_1_22-22-01,21:58:49,-36.3119506836
run_1_22-22-01,21:58:51,2.48886847496
run_1_22-22-01,21:58:53,46.6198692322
run_1_22-22-01,21:58:55,-3.45405054092
run_1_22-22-01,21:58:57,-4.96918535233
run_1_22-22-01,21:58:59,-28.8027267456
run_1_22-22-01,21:59:01,4.74863243103
run_1_22-22-01,21:59:03,23.3813552856
run_1_22-22-01,21:59:05,6.11258220673
run_1_22-22-01,21:59:07,15.1937017441
run_1_22-22-01,21:59:09,10.8847885132
run_1_22-22-01,21:59:11,-23.907075882
run_1_22-22-01,21:59:13,-36.9833221436
run_1_22-22-01,21:59:15,-45.2893676758
run_1_22-22-01,21:59:17,-30.0156097412
run_1_22-22-01,21:59:19,14.2681455612
run_1_22-22-01,21:59:21,-41.6217308044
run_1_22-22-01,21:59:23,29.1150341034
run_1_22-22-01,21:59:25,36.0293617249
run_1_22-22-01,21:59:27,-38.6383934021
run_1_22-22-01,21:59:29,22.9523925781
run_1_22-22-01,21:59:31,0.424619555473
run_1_22-22-01,21:59:33,46.1667175293
run_1_22-22-01,21:59:35,31.6820755005
run_1_22-22-01,21:59:37,-19.9493923187
run_1_22-22-01,21:59:39,26.2080078125
run_1_22-22-01,21:59:41,14.6161384583
run_1_22-22-01,21:59:43,-13.1047859192
run_1_22-22-01,21:59:45,11.354054451
run_1_22-22-01,21:59:47,37.1633987427
run_1_22-22-01,21:59:49,30.4539203644
run_1_22-22-01,21:59:51,-33.0398330688
run_1_22-22-01,21:59:53,-2.78953003883
run_1_22-22-01,21:59:55,-25.8329601288
run_1_22-22-01,21:59:57,-49.8498497009
run_1_22-22-01,21:59:59,41.2244262695
run_1_22-22-01,22:00:01,-9.0672750473
run_1_22-22-01,22:00:03,30.7555999756
run_1_22-22-01,22:00:05,-33.0842475891
run_1_22-22-01,22:00:08,14.0743999481
run_1_22-22-01,22:00:10,-4.17239522934
run_1_22-22-01,22:00:12,15.079501152
run_1_22-22-01,22:00:14,-3.85168790817
run_1_22-22-01,22:00:16,-45.0080833435
run_1_22-22-01,22:00:18,-6.02537965775
run_1_22-22-01,22:00:20,-18.5007991791
run_1_22-22-01,22:00:22,-18.1575050354
run_1_22-22-01,22:00:24,-23.8871669769
run_1_22-22-01,22:00:26,-14.7359018326
run_1_22-22-01,22:00:28,41.4841690063
run_1_22-22-01,22:00:30,25.6832199097
run_1_22-22-01,22:00:32,-10.199848175
run_1_22-22-01,22:00:34,43.4403495789
run_1_22-22-01,22:00:36,-42.6341171265
run_1_22-22-01,22:00:38,-7.52394008636
run_1_22-22-01,22:00:40,37.1540641785
run_1_22-22-01,22:00:42,-3.26945757866
run_1_22-22-01,22:00:44,-43.1202888489
run_1_22-22-01,22:00:46,-45.7538871765
run_1_22-22-01,22:00:48,-1.20112645626
run_1_22-22-01,22:00:50,44.0558891296
run_1_22-22-01,22:00:52,11.4838485718
run_1_22-22-01,22:00:54,-3.92827129364
run_1_22-22-01,22:00:56,-3.96386957169
run_1_22-22-01,22:00:58,-2.54229593277
run_1_22-22-01,22:01:00,8.00715255737
run_1_22-22-01,22:01:02,-4.82885932922
run_1_22-22-01,22:01:04,-18.7517280579
run_1_22-22-01,22:01:06,48.8417396545
run_1_22-22-01,22:01:08,-7.03798484802
run_1_22-22-01,22:01:10,9.7049703598
run_1_22-22-01,22:01:12,1.99696135521
run_1_22-22-01,22:01:14,-45.8420372009
run_1_22-22-01,22:01:16,1.44885897636
run_1_22-22-01,22:01:18,19.9773845673
run_1_22-22-01,22:01:20,17.5423812866
run_1_22-22-01,22:01:22,31.0891342163
run_1_22-22-01,22:01:24,15.2573080063
run_1_22-22-01,22:01:26,-2.85350251198
run_1_22-22-01,22:01:28,-38.120552063
run_1_22-22-01,22:01:30,34.8956298828
run_1_22-22-01,22:01:32,-19.8688964844
run_1_22-22-01,22:01:34,11.2131223679
run_1_22-22-01,22:01:36,34.3734359741
run_1_22-22-01,22:01:38,-14.5642566681
run_1_22-22-01,22:01:40,-31.0649833679
run_1_22-22-01,22:01:42,-29.8270950317
run_1_22-22-01,22:01:44,39.4480400085
run_1_22-22-01,22:01:46,-17.2350101471
run_1_22-22-01,22:01:48,-5.01547050476
run_1_22-22-01,22:01:50,-2.6770734787
run_1_22-22-01,22:01:54,-5.95999336243
run_1_22-22-01,22:01:56,13.348482132
run_1_22-22-01,22:01:58,12.1615600586
run_1_22-22-01,22:02:00,-40.5015106201
run_1_22-22-01,22:02:02,30.5487861633
run_1_22-22-01,22:02:04,-10.7761535645
run_1_22-22-01,22:02:06,6.64962530136
run_1_22-22-01,22:02:08,25.0729923248
run_1_22-22-01,22:02:10,34.9768486023
run_1_22-22-01,22:02:12,-31.7952079773
run_1_22-22-01,22:02:14,-40.9871940613
run_1_22-22-01,22:02:16,-0.950547993183
run_1_22-22-01,22:02:18,-32.2933349609
run_1_22-22-01,22:02:20,31.9463043213
run_1_22-22-01,22:02:22,-48.0619544983
run_1_22-22-01,22:02:24,11.2723445892
run_1_22-22-01,22:02:26,-27.7715587616
run_1_22-22-01,22:02:28,42.8105316162
run_1_22-22-01,22:02:30,-37.3736076355
run_1_22-22-01,22:02:32,-36.6647186279
run_1_22-22-01,22:02:34,-0.351711660624
run_1_22-22-01,22:02:36,-45.4381752014
run_1_22-22-01,22:02:38,-6.09976196289
run_1_22-22-01,22:02:40,12.3185005188
run_1_22-22-01,22:02:42,19.5444087982
run_1_22-22-01,22:02:44,-5.52854919434
run_1_22-22-01,22:02:46,-46.7912712097
run_1_22-22-01,22:02:48,9.6726360321
run_1_22-22-01,22:02:50,21.5588550568
run_1_22-22-01,22:02:52,-18.1285114288
run_1_22-22-01,22:02:54,23.8355770111
run_1_22-22-01,22:02:56,-44.2139816284
run_1_22-22-01,22:02:58,-34.3058853149
run_1_22-22-01,22:03:00,-24.7838459015
run_1_22-22-01,22:03:02,26.7839241028
run_1_22-22-01,22:03:04,33.4248123169
run_1_22-22-01,22:03:06,-38.5076255798
run_1_22-22-01,22:03:08,26.6081199646
run_1_22-22-01,22:03:10,6.29979228973
run_1_22-22-01,22:03:12,-9.84273529053
run_1_22-22-01,22:03:14,-25.7878093719
run_1_22-22-01,22:03:16,11.0847291946
run_1_22-22-01,22:03:18,-43.6791763306
run_1_22-22-01,22:03:20,34.8997077942
run_1_22-22-01,22:03:22,29.0137310028
run_1_22-22-01,22:03:24,-5.74335813522
run_1_22-22-01,22:03:26,-17.759431839
run_1_22-22-01,22:03:28,0.0272866245359
run_1_22-22-01,22:03:30,49.5942459106
run_1_22-22-01,22:03:32,-13.4905605316
run_1_22-22-01,22:03:34,46.4554214478
run_1_22-22-01,22:03:36,-22.5964927673
run_1_22-22-01,22:03:38,-31.5233860016
run_1_22-22-01,22:03:40,6.99438428879
run_1_22-22-01,22:03:42,17.5202541351
run_1_22-22-01,22:03:44,5.43490457535
run_1_22-22-01,22:03:46,7.73748016357
run_1_22-22-01,22:03:48,24.1379413605
run_1_22-22-01,22:03:50,16.474357605
run_1_22-22-01,22:03:52,-38.0230941772
run_1_22-22-01,22:03:54,25.1703662872
run_1_22-22-01,22:03:56,45.5083274841
run_1_22-22-01,22:03:58,2.41770982742
run_1_22-22-01,22:04:00,-0.676109015942
run_1_22-22-01,22:04:02,-31.1812133789
run_1_22-22-01,22:04:04,-30.9918308258
run_1_22-22-01,22:04:06,26.5459651947
run_1_22-22-01,22:04:08,-28.880399704
run_1_22-22-01,22:04:10,46.6251182556
run_1_22-22-01,22:04:12,-26.6573886871
run_1_22-22-01,22:04:14,35.2032356262
run_1_22-22-01,22:04:18,5.98778676987
run_1_22-22-01,22:04:20,-42.3359909058
run_1_22-22-01,22:04:22,20.1766414642
run_1_22-22-01,22:04:24,34.8882026672
run_1_22-22-01,22:04:26,-11.2106056213
run_1_22-22-01,22:04:28,27.1410369873
run_1_22-22-01,22:04:30,30.0234165192
run_1_22-22-01,22:04:32,16.7316455841
run_1_22-22-01,22:04:34,46.9201393127
run_1_22-22-01,22:04:36,-4.4610915184
run_1_22-22-01,22:04:38,-7.8888463974
run_1_22-22-01,22:04:40,27.1569499969
run_1_22-22-01,22:04:42,-21.2510166168
run_1_22-22-01,22:04:44,18.6256599426
run_1_22-22-01,22:04:46,1.43532180786
run_1_22-22-01,22:04:48,-17.7482967377
run_1_22-22-01,22:04:50,-43.3354187012
run_1_22-22-01,22:04:52,40.1822280884
run_1_22-22-01,22:04:54,27.2993202209
run_1_22-22-01,22:04:56,-20.8236122131
run_1_22-22-01,22:04:58,-33.6540374756
run_1_22-22-01,22:05:00,34.1907424927
run_1_22-22-01,22:05:02,-30.4618415833
run_1_22-22-01,22:05:04,23.6655101776
run_1_22-22-01,22:05:06,-23.9521617889
run_1_22-22-01,22:05:08,26.3967075348
run_1_22-22-01,22:05:10,-42.2119140625
run_1_22-22-01,22:05:12,-29.6455078125
run_1_22-22-01,22:05:14,-46.5834770203
run_1_22-22-01,22:05:16,-38.0473670959
run_1_22-22-01,22:05:18,1.83079898357
run_1_22-22-01,22:05:20,16.7895679474
run_1_22-22-01,22:05:22,-7.9183549881
run_1_22-22-01,22:05:24,-0.996879518032
run_1_22-22-01,22:05:26,-34.4376106262
run_1_22-22-01,22:05:28,-24.7233867645
run_1_22-22-01,22:05:30,6.22220945358
run_1_22-22-01,22:05:32,-9.76565074921
run_1_22-22-01,22:05:34,25.3579273224
run_1_22-22-01,22:05:36,-11.5189437866
run_1_22-22-01,22:05:38,-15.5313167572
run_1_22-22-01,22:05:41,-2.98871898651
run_1_22-22-01,22:05:43,-17.7461261749
run_1_22-22-01,22:05:45,-20.2875537872
run_1_22-22-01,22:05:47,-28.3449039459
run_1_22-22-01,22:05:49,-31.9288902283
run_1_22-22-01,22:05:51,10.0566043854
run_1_22-22-01,22:05:53,-10.4080886841
run_1_22-22-01,22:05:55,-43.2385177612
run_1_22-22-01,22:05:57,47.8455734253
run_1_22-22-01,22:05:59,-27.1238422394
run_1_22-22-01,22:06:01,21.3596115112
run_1_22-22-01,22:06:03,-14.478559494
run_1_22-22-01,22:06:05,-9.42690086365
run_1_22-22-01,22:06:07,-41.5958709717
run_1_22-22-01,22:06:09,6.01304340363
run_1_22-22-01,22:06:11,-48.5110778809
run_1_22-22-01,22:06:13,-3.88178396225
run_1_22-22-01,22:06:15,-14.6277618408
run_1_22-22-01,22:06:17,-3.34866690636
run_1_22-22-01,22:06:19,-43.2263145447
run_1_22-22-01,22:06:21,-18.3121528625
run_1_22-22-01,22:06:23,-25.9349098206
run_1_22-22-01,22:06:25,3.88734817505
run_1_22-22-01,22:06:27,-15.2104978561
run_1_22-22-01,22:06:29,12.880027771
run_1_22-22-01,22:06:31,-18.8401298523
run_1_22-22-01,22:06:33,44.0143241882
run_1_22-22-01,22:06:35,-18.3358306885
run_1_22-22-01,22:06:37,-5.00174283981
run_1_22-22-01,22:06:39,38.7501296997
run_1_22-22-01,22:06:41,-39.2011947632
run_1_22-22-01,22:06:43,-45.4161148071
run_1_22-22-01,22:06:45,-40.7202301025
run_1_22-22-01,22:06:47,-49.6730880737
run_1_22-22-01,22:06:49,-20.8823070526
run_1_22-22-01,22:06:51,-37.5504150391
run_1_22-22-01,22:06:53,-18.2988796234
run_1_22-22-01,22:06:55,-12.5685567856
run_1_22-22-01,22:06:57,12.557264328
run_1_22-22-01,22:06:59,11.3210420609
run_1_22-22-01,22:07:03,-7.89242506027
run_1_22-22-01,22:07:05,5.20587205887
run_1_22-22-01,22:07:07,14.7322683334
run_1_22-22-01,22:07:09,-45.2494621277
run_1_22-22-01,22:07:11,42.5306892395
run_1_22-22-01,22:07:13,33.8055648804
run_1_22-22-01,22:07:15,32.3111763
run_1_22-22-01,22:07:17,47.5331687927
run_1_22-22-01,22:07:19,-21.0734195709
run_1_22-22-01,22:07:21,-34.8781089783
run_1_22-22-01,22:07:23,-7.92644357681
run_1_22-22-01,22:07:25,41.3967590332
run_1_22-22-01,22:07:27,-44.9723854065
run_1_22-22-01,22:07:29,11.6258115768
run_1_22-22-01,22:07:31,-31.3680152893
run_1_22-22-01,22:07:33,17.6264133453
run_1_22-22-01,22:07:35,29.6970882416
run_1_22-22-01,22:07:37,-46.1337356567
run_1_22-22-01,22:07:39,12.9443874359
run_1_22-22-01,22:07:41,30.1057186127
run_1_22-22-01,22:07:43,-40.8682136536
run_1_22-22-01,22:07:45,-14.1788902283
run_1_22-22-01,22:07:47,21.1720542908
run_1_22-22-01,22:07:49,-4.44475507736
run_1_22-22-01,22:07:51,38.6798248291
run_1_22-22-01,22:07:53,8.65099906921
run_1_22-22-01,22:07:55,-6.87822914124
run_1_22-22-01,22:07:57,-26.8826446533
run_1_22-22-01,22:07:59,41.6416740417
run_1_22-22-01,22:08:01,2.06754255295
run_1_22-22-01,22:08:03,-15.4589557648
run_1_22-22-01,22:08:05,-23.6319694519
run_1_22-22-01,22:08:07,-13.0499544144
run_1_22-22-01,22:08:09,7.51157617569
run_1_22-22-01,22:08:11,-4.36190319061
run_1_22-22-01,22:08:13,-17.5781803131
run_1_22-22-01,22:08:15,12.7271976471
run_1_22-22-01,22:08:17,7.018055439
run_1_22-22-01,22:08:19,30.1548671722
run_1_22-22-01,22:08:21,-12.8549690247
run_1_22-22-01,22:08:23,-16.0610961914
run_1_22-22-01,22:08:25,19.389919281
run_1_22-22-01,22:08:27,39.452293396
run_1_22-22-01,22:08:29,-18.4938983917
run_1_22-22-01,22:08:31,-1.37311971188
run_1_22-22-01,22:08:33,14.6104393005
run_1_22-22-01,22:08:35,17.1550807953
run_1_22-22-01,22:08:37,-3.13083648682
run_1_22-22-01,22:08:39,42.5002212524
run_1_22-22-01,22:08:41,-25.0208778381
run_1_22-22-01,22:08:43,-10.4301652908
run_1_22-22-01,22:08:45,-37.436794281
run_1_22-22-01,22:08:47,26.1920146942
run_1_22-22-01,22:08:49,-10.8137903214
run_1_22-22-01,10:30:57,0.327687501907
run_1_22-22-01,10:31:16,-19.0535907745
run_1_22-22-01,10:31:18,21.4243469238
run_1_22-22-01,10:31:20,-16.133020401
run_1_22-22-01,10:31:22,-33.4896888733
run_1_22-22-01,10:31:24,4.62056541443
run_1_22-22-01,10:31:26,-8.4800157547
run_1_22-22-01,10:31:28,-30.6650600433
run_1_22-22-01,10:31:30,-42.9264335632
run_1_22-22-01,10:31:32,-2.13516402245
run_1_22-22-01,10:31:34,-11.9204854965
run_1_22-22-01,10:31:36,45.450088501
run_1_22-22-01,10:31:38,41.036151886
run_1_22-22-01,10:31:40,-30.8837471008
run_1_22-22-01,10:31:42,-43.8712463379
run_1_22-22-01,10:31:44,-2.41859483719
run_1_22-22-01,10:31:46,26.8391342163
run_1_22-22-01,10:31:48,3.19567632675
run_1_22-22-01,10:31:50,-7.09053945541
run_1_22-22-01,10:31:52,-12.1346988678
run_1_22-22-01,10:31:54,-1.96789717674
run_1_22-22-01,10:31:56,38.7063560486
run_1_22-22-01,10:31:58,-41.7305488586
run_1_22-22-01,10:32:00,-2.88499546051
run_1_22-22-01,10:32:02,-42.8693885803
run_1_22-22-01,10:32:04,-10.4913482666
run_1_22-22-01,10:32:06,-9.68505096436
run_1_22-22-01,10:32:08,44.1542778015
run_1_22-22-01,10:32:10,-39.1037101746
run_1_22-22-01,10:32:12,-18.508234024
run_1_22-22-01,10:32:14,-23.0182476044
run_1_22-22-01,10:32:16,26.9143505096
run_1_22-22-01,10:32:18,-1.0875620842
run_1_22-22-01,10:32:20,-47.9707946777
