sensor,time,value
run_1_22-22-01,21:57:24,44
run_1_22-22-01,21:57:26,36
run_1_22-22-01,21:57:28,43
run_1_22-22-01,21:57:30,42
run_1_22-22-01,21:57:32,35
run_1_22-22-01,21:57:34,14
run_1_22-22-01,21:57:36,28
run_1_22-22-01,21:57:38,25
run_1_22-22-01,21:57:40,55
run_1_22-22-01,21:57:42,4
run_1_22-22-01,21:57:44,54
run_1_22-22-01,21:57:46,14
run_1_22-22-01,21:57:48,30
run_1_22-22-01,21:57:50,55
run_1_22-22-01,21:57:52,19
run_1_22-22-01,21:57:54,3
run_1_22-22-01,21:57:56,42
run_1_22-22-01,21:57:58,54
run_1_22-22-01,21:58:00,12
run_1_22-22-01,21:58:02,15
run_1_22-22-01,21:58:04,19
run_1_22-22-01,21:58:06,17
run_1_22-22-01,21:58:08,28
run_1_22-22-01,21:58:10,19
run_1_22-22-01,21:58:12,53
run_1_22-22-01,21:58:14,13
run_1_22-22-01,21:58:16,50
run_1_22-22-01,21:58:18,22
run_1_22-22-01,21:58:20,27
run_1_22-22-01,21:58:22,28
run_1_22-22-01,21:58:24,3
run_1_22-22-01,21:58:26,18
run_1_22-22-01,21:58:28,50
run_1_22-22-01,21:58:30,21
run_1_22-22-01,21:58:32,18
run_1_22-22-01,21:58:34,44
run_1_22-22-01,21:58:36,14
run_1_22-22-01,21:58:38,53
run_1_22-22-01,21:58:40,10
run_1_22-22-01,21:58:42,50
run_1_22-22-01,21:58:44,8
run_1_22-22-01,21:58:46,32
run_1_22-22-01,21:58:49,11
run_1_22-22-01,21:58:51,47
run_1_22-22-01,21:58:53,7
run_1_22-22-01,21:58:55,49
run_1_22-22-01,21:58:57,1
run_1_22-22-01,21:58:59,31
run_1_22-22-01,21:59:01,27
run_1_22-22-01,21:59:03,11
run_1_22-22-01,21:59:05,15
run_1_22-22-01,21:59:07,52
run_1_22-22-01,21:59:09,13
run_1_22-22-01,21:59:11,4
run_1_22-22-01,21:59:13,10
run_1_22-22-01,21:59:15,37
run_1_22-22-01,21:59:17,54
run_1_22-22-01,21:59:19,41
run_1_22-22-01,21:59:21,33
run_1_22-22-01,21:59:23,34
run_1_22-22-01,21:59:25,9
run_1_22-22-01,21:59:27,27
run_1_22-22-01,21:59:29,33
run_1_22-22-01,21:59:31,30
run_1_22-22-01,21:59:33,37
run_1_22-22-01,21:59:35,53
run_1_22-22-01,21:59:37,27
run_1_22-22-01,21:59:39,51
run_1_22-22-01,21:59:41,55
run_1_22-22-01,21:59:43,15
run_1_22-22-01,21:59:45,42
run_1_22-22-01,21:59:47,48
run_1_22-22-01,21:59:49,2
run_1_22-22-01,21:59:51,30
run_1_22-22-01,21:59:53,17
run_1_22-22-01,21:59:55,31
run_1_22-22-01,21:59:57,31
run_1_22-22-01,21:59:59,15
run_1_22-22-01,22:00:01,6
run_1_22-22-01,22:00:03,44
run_1_22-22-01,22:00:05,37
run_1_22-22-01,22:00:08,53
run_1_22-22-01,22:00:10,21
run_1_22-22-01,22:00:12,7
run_1_22-22-01,22:00:14,43
run_1_22-22-01,22:00:16,3
run_1_22-22-01,22:00:18,50
run_1_22-22-01,22:00:20,1
run_1_22-22-01,22:00:22,36
run_1_22-22-01,22:00:24,1
run_1_22-22-01,22:00:26,55
run_1_22-22-01,22:00:28,41
run_1_22-22-01,22:00:30,10
run_1_22-22-01,22:00:32,50
run_1_22-22-01,22:00:34,35
run_1_22-22-01,22:00:36,3
run_1_22-22-01,22:00:38,52
run_1_22-22-01,22:00:40,29
run_1_22-22-01,22:00:42,8
run_1_22-22-01,22:00:44,37
run_1_22-22-01,22:00:46,10
run_1_22-22-01,22:00:48,4
run_1_22-22-01,22:00:50,43
run_1_22-22-01,22:00:52,44
run_1_22-22-01,22:00:54,15
run_1_22-22-01,22:00:56,25
run_1_22-22-01,22:00:58,25
run_1_22-22-01,22:01:00,29
run_1_22-22-01,22:01:02,20
run_1_22-22-01,22:01:04,19
run_1_22-22-01,22:01:06,19
run_1_22-22-01,22:01:08,29
run_1_22-22-01,22:01:10,5
run_1_22-22-01,22:01:12,28
run_1_22-22-01,22:01:14,21
run_1_22-22-01,22:01:16,31
run_1_22-22-01,22:01:18,43
run_1_22-22-01,22:01:20,18
run_1_22-22-01,22:01:22,15
run_1_22-22-01,22:01:24,22
run_1_22-22-01,22:01:26,48
run_1_22-22-01,22:01:28,1
run_1_22-22-01,22:01:30,30
run_1_22-22-01,22:01:32,39
run_1_22-22-01,22:01:34,24
run_1_22-22-01,22:01:36,33
run_1_22-22-01,22:01:38,35
run_1_22-22-01,22:01:40,32
run_1_22-22-01,22:01:42,47
run_1_22-22-01,22:01:44,36
run_1_22-22-01,22:01:46,17
run_1_22-22-01,22:01:48,17
run_1_22-22-01,22:01:50,53
run_1_22-22-01,22:01:54,15
run_1_22-22-01,22:01:56,47
run_1_22-22-01,22:01:58,12
run_1_22-22-01,22:02:00,28
run_1_22-22-01,22:02:02,15
run_1_22-22-01,22:02:04,29
run_1_22-22-01,22:02:06,7
run_1_22-22-01,22:02:08,9
run_1_22-22-01,22:02:10,15
run_1_22-22-01,22:02:12,3
run_1_22-22-01,22:02:14,30
run_1_22-22-01,22:02:16,36
run_1_22-22-01,22:02:18,6
run_1_22-22-01,22:02:20,2
run_1_22-22-01,22:02:22,46
run_1_22-22-01,22:02:24,52
run_1_22-22-01,22:02:26,2
run_1_22-22-01,22:02:28,20
run_1_22-22-01,22:02:30,28
run_1_22-22-01,22:02:32,19
run_1_22-22-01,22:02:34,22
run_1_22-22-01,22:02:36,42
run_1_22-22-01,22:02:38,38
run_1_22-22-01,22:02:40,3
run_1_22-22-01,22:02:42,14
run_1_22-22-01,22:02:44,53
run_1_22-22-01,22:02:46,35
run_1_22-22-01,22:02:48,45
run_1_22-22-01,22:02:50,33
run_1_22-22-01,22:02:52,53
run_1_22-22-01,22:02:54,19
run_1_22-22-01,22:02:56,15
run_1_22-22-01,22:02:58,3
run_1_22-22-01,22:03:00,22
run_1_22-22-01,22:03:02,20
run_1_22-22-01,22:03:04,29
run_1_22-22-01,22:03:06,35
run_1_22-22-01,22:03:08,18
run_1_22-22-01,22:03:10,47
run_1_22-22-01,22:03:12,26
run_1_22-22-01,22:03:14,43
run_1_22-22-01,22:03:16,47
run_1_22-22-01,22:03:18,44
run_1_22-22-01,22:03:20,12
run_1_22-22-01,22:03:22,55
run_1_22-22-01,22:03:24,46
run_1_22-22-01,22:03:26,7
run_1_22-22-01,22:03:28,25
run_1_22-22-01,22:03:30,46
run_1_22-22-01,22:03:32,39
run_1_22-22-01,22:03:34,23
run_1_22-22-01,22:03:36,34
run_1_22-22-01,22:03:38,12
run_1_22-22-01,22:03:40,38
run_1_22-22-01,22:03:42,25
run_1_22-22-01,22:03:44,41
run_1_22-22-01,22:03:46,45
run_1_22-22-01,22:03:48,36
run_1_22-22-01,22:03:50,34
run_1_22-22-01,22:03:52,54
run_1_22-22-01,22:03:54,5
run_1_22-22-01,22:03:56,22
run_1_22-22-01,22:03:58,33
run_1_22-22-01,22:04:00,1
run_1_22-22-01,22:04:02,10
run_1_22-22-01,22:04:04,33
run_1_22-22-01,22:04:06,10
run_1_22-22-01,22:04:08,42
run_1_22-22-01,22:04:10,28
run_1_22-22-01,22:04:12,26
run_1_22-22-01,22:04:14,39
run_1_22-22-01,22:04:18,2
run_1_22-22-01,22:04:20,42
run_1_22-22-01,22:04:22,27
run_1_22-22-01,22:04:24,14
run_1_22-22-01,22:04:26,18
