sensor,time,value
velocity,22:32:25,136.163665771
acceleration,22:32:25,29.1193275452
rpm_scaled,22:32:25,52
temperature_inside,22:32:25,83.8564987183
temperature_outside,22:32:25,32.2875900269
temperature_electronics,22:32:25,41.3964729309
velocity,22:32:27,90.5648880005
acceleration,22:32:27,33.4856338501
rpm_scaled,22:32:27,37
temperature_inside,22:32:27,56.065662384
temperature_outside,22:32:27,136.497833252
temperature_electronics,22:32:27,137.006210327
velocity,22:32:29,29.3139133453
acceleration,22:32:29,-37.8803520203
rpm_scaled,22:32:29,33
temperature_inside,22:32:29,131.136077881
temperature_outside,22:32:29,92.2177886963
temperature_electronics,22:32:29,73.6584777832
velocity,22:32:31,8.81244945526
acceleration,22:32:31,26.9044628143
rpm_scaled,22:32:31,2
temperature_inside,22:32:31,51.9730415344
temperature_outside,22:32:31,14.3285446167
temperature_electronics,22:32:31,104.874580383
velocity,22:32:33,126.56337738
acceleration,22:32:33,43.6771087646
rpm_scaled,22:32:33,7
temperature_inside,22:32:33,135.295913696
temperature_outside,22:32:33,54.4748573303
temperature_electronics,22:32:33,1.01658213139
velocity,22:32:35,115.663948059
acceleration,22:32:35,-13.1500463486
rpm_scaled,22:32:35,15
temperature_inside,22:32:35,105.672142029
temperature_outside,22:32:35,85.3650054932
temperature_electronics,22:32:35,84.2464370728
velocity,22:32:37,91.3719558716
acceleration,22:32:37,25.1095962524
rpm_scaled,22:32:37,7
temperature_inside,22:32:37,120.595962524
temperature_outside,22:32:37,91.1134033203
temperature_electronics,22:32:37,78.5805969238
velocity,22:32:39,105.72228241
acceleration,22:32:39,35.3284034729
rpm_scaled,22:32:39,9
temperature_inside,22:32:39,23.7351818085
temperature_outside,22:32:39,141.00440979
temperature_electronics,22:32:39,64.8534317017
velocity,22:32:41,132.13772583
acceleration,22:32:41,-25.9930667877
rpm_scaled,22:32:41,7
temperature_inside,22:32:41,146.216934204
temperature_outside,22:32:41,19.3869533539
temperature_electronics,22:32:41,81.5503997803
velocity,22:32:43,33.1424827576
acceleration,22:32:43,46.4230613708
rpm_scaled,22:32:43,34
temperature_inside,22:32:43,21.2972679138
temperature_outside,22:32:43,70.4291229248
temperature_electronics,22:32:43,55.239730835
velocity,22:32:45,70.8457641602
acceleration,22:32:45,-39.6899757385
rpm_scaled,22:32:45,47
temperature_inside,22:32:45,90.541633606
temperature_outside,22:32:45,124.48777771
temperature_electronics,22:32:45,38.8910369873
velocity,22:32:47,51.5932846069
acceleration,22:32:47,25.8219108582
rpm_scaled,22:32:47,51
temperature_inside,22:32:47,86.6716842651
temperature_outside,22:32:47,114.81174469
temperature_electronics,22:32:47,66.5741424561
velocity,22:32:49,11.3373746872
acceleration,22:32:49,35.3731269836
rpm_scaled,22:32:49,32
temperature_inside,22:32:49,110.008018494
temperature_outside,22:32:49,87.2808837891
temperature_electronics,22:32:49,27.7217559814
velocity,22:32:51,127.867233276
acceleration,22:32:51,-10.8430099487
rpm_scaled,22:32:51,50
temperature_inside,22:32:51,68.0821762085
temperature_outside,22:32:51,24.4924278259
temperature_electronics,22:32:51,41.2372360229
velocity,22:32:53,106.409675598
acceleration,22:32:53,47.6967926025
rpm_scaled,22:32:53,46
temperature_inside,22:32:53,112.682380676
temperature_outside,22:32:53,52.0762176514
temperature_electronics,22:32:53,145.202453613
velocity,22:32:55,17.3800258636
acceleration,22:32:55,-23.5243740082
rpm_scaled,22:32:55,8
temperature_inside,22:32:55,96.956741333
temperature_outside,22:32:55,108.283668518
temperature_electronics,22:32:55,4.52821111679
velocity,22:32:57,59.5952453613
acceleration,22:32:57,21.6671619415
rpm_scaled,22:32:57,32
temperature_inside,22:32:57,112.013130188
temperature_outside,22:32:57,39.4485664368
temperature_electronics,22:32:57,6.59146547318
velocity,22:32:59,116.001464844
acceleration,22:32:59,-37.8528747559
rpm_scaled,22:32:59,11
temperature_inside,22:32:59,96.9145889282
temperature_outside,22:32:59,74.5970458984
temperature_electronics,22:32:59,52.8847503662
velocity,22:33:01,9.53130817413
acceleration,22:33:01,31.0780563354
rpm_scaled,22:33:01,35
temperature_inside,22:33:01,94.1297607422
temperature_outside,22:33:01,73.3284301758
temperature_electronics,22:33:01,81.7446212769
velocity,22:33:03,14.4182138443
acceleration,22:33:03,-20.6925926208
rpm_scaled,22:33:03,39
temperature_inside,22:33:03,140.341781616
temperature_outside,22:33:03,67.7169876099
temperature_electronics,22:33:03,139.748306274
velocity,22:33:05,112.692558289
acceleration,22:33:05,-22.3213119507
rpm_scaled,22:33:05,6
temperature_inside,22:33:05,63.7745819092
temperature_outside,22:33:05,138.828796387
temperature_electronics,22:33:05,23.7540950775
velocity,22:33:07,85.0552368164
acceleration,22:33:07,-39.360534668
rpm_scaled,22:33:07,52
temperature_inside,22:33:07,24.6962203979
temperature_outside,22:33:07,32.255569458
temperature_electronics,22:33:07,146.634658813
velocity,22:33:09,82.4395141602
acceleration,22:33:09,29.6767978668
rpm_scaled,22:33:09,8
temperature_inside,22:33:09,13.7703084946
temperature_outside,22:33:09,38.4219856262
temperature_electronics,22:33:09,87.8061523438
velocity,22:33:11,127.921958923
acceleration,22:33:11,-15.697479248
rpm_scaled,22:33:11,14
temperature_inside,22:33:11,82.2183837891
temperature_outside,22:33:11,42.8401794434
temperature_electronics,22:33:11,145.229812622
velocity,22:33:13,30.5254211426
acceleration,22:33:13,17.5905590057
rpm_scaled,22:33:13,1
