sensor,time,value
run_1_22-22-01,21:57:24,96.457901001
run_1_22-22-01,21:57:26,48.4581832886
run_1_22-22-01,21:57:28,86.0439910889
run_1_22-22-01,21:57:30,76.0418243408
run_1_22-22-01,21:57:32,105.256477356
run_1_22-22-01,21:57:34,126.757110596
run_1_22-22-01,21:57:36,99.3232879639
run_1_22-22-01,21:57:38,43.9367599487
run_1_22-22-01,21:57:40,45.2736091614
run_1_22-22-01,21:57:42,113.690963745
run_1_22-22-01,21:57:44,130.564254761
run_1_22-22-01,21:57:46,47.6987762451
run_1_22-22-01,21:57:48,136.123855591
run_1_22-22-01,21:57:50,61.933380127
run_1_22-22-01,21:57:52,122.693992615
run_1_22-22-01,21:57:54,35.9592704773
run_1_22-22-01,21:57:56,29.2875061035
run_1_22-22-01,21:57:58,105.108924866
run_1_22-22-01,21:58:00,137.716903687
run_1_22-22-01,21:58:02,118.317016602
run_1_22-22-01,21:58:04,91.0157699585
run_1_22-22-01,21:58:06,130.938064575
run_1_22-22-01,21:58:08,112.864814758
run_1_22-22-01,21:58:10,79.7177047729
run_1_22-22-01,21:58:12,46.6908416748
run_1_22-22-01,21:58:14,80.5995330811
run_1_22-22-01,21:58:16,53.3495063782
run_1_22-22-01,21:58:18,108.007858276
run_1_22-22-01,21:58:20,97.8274383545
run_1_22-22-01,21:58:22,110.436630249
run_1_22-22-01,21:58:24,134.247756958
run_1_22-22-01,21:58:26,88.896156311
run_1_22-22-01,21:58:28,106.506782532
run_1_22-22-01,21:58:30,91.1466522217
run_1_22-22-01,21:58:32,142.6197052
run_1_22-22-01,21:58:34,68.5692672729
run_1_22-22-01,21:58:36,15.3036546707
run_1_22-22-01,21:58:38,3.7985022068
run_1_22-22-01,21:58:40,96.104385376
run_1_22-22-01,21:58:42,125.061302185
run_1_22-22-01,21:58:44,16.8184528351
run_1_22-22-01,21:58:46,69.8198776245
run_1_22-22-01,21:58:49,68.0784378052
run_1_22-22-01,21:58:51,10.9122629166
run_1_22-22-01,21:58:53,29.3147201538
run_1_22-22-01,21:58:55,125.505218506
run_1_22-22-01,21:58:57,66.9225692749
run_1_22-22-01,21:58:59,32.3076934814
run_1_22-22-01,21:59:01,78.7402114868
run_1_22-22-01,21:59:03,91.8697357178
run_1_22-22-01,21:59:05,130.038635254
run_1_22-22-01,21:59:07,122.502990723
run_1_22-22-01,21:59:09,12.5657138824
run_1_22-22-01,21:59:11,6.34577512741
run_1_22-22-01,21:59:13,118.09438324
run_1_22-22-01,21:59:15,134.154647827
run_1_22-22-01,21:59:17,104.598335266
run_1_22-22-01,21:59:19,57.158493042
run_1_22-22-01,21:59:21,67.729637146
run_1_22-22-01,21:59:23,60.3411979675
run_1_22-22-01,21:59:25,37.0073356628
run_1_22-22-01,21:59:27,2.05506849289
run_1_22-22-01,21:59:29,20.3796367645
run_1_22-22-01,21:59:31,53.5978126526
run_1_22-22-01,21:59:33,85.530380249
run_1_22-22-01,21:59:35,19.4027004242
run_1_22-22-01,21:59:37,47.1687164307
run_1_22-22-01,21:59:39,14.3313369751
run_1_22-22-01,21:59:41,80.7132110596
run_1_22-22-01,21:59:43,96.8124008179
run_1_22-22-01,21:59:45,112.073410034
run_1_22-22-01,21:59:47,6.92609071732
run_1_22-22-01,21:59:49,77.1784286499
run_1_22-22-01,21:59:51,81.2634124756
run_1_22-22-01,21:59:53,138.963546753
run_1_22-22-01,21:59:55,147.817199707
run_1_22-22-01,21:59:57,97.0208969116
run_1_22-22-01,21:59:59,74.3418426514
run_1_22-22-01,22:00:01,6.75246858597
run_1_22-22-01,22:00:03,145.487091064
run_1_22-22-01,22:00:05,14.6777267456
run_1_22-22-01,22:00:08,147.023574829
run_1_22-22-01,22:00:10,21.6448402405
run_1_22-22-01,22:00:12,21.0578918457
run_1_22-22-01,22:00:14,76.2212524414
run_1_22-22-01,22:00:16,33.7234764099
run_1_22-22-01,22:00:18,142.440750122
run_1_22-22-01,22:00:20,112.251693726
run_1_22-22-01,22:00:22,100.505882263
run_1_22-22-01,22:00:24,69.838180542
run_1_22-22-01,22:00:26,139.439147949
run_1_22-22-01,22:00:28,149.164245605
run_1_22-22-01,22:00:30,90.2046432495
run_1_22-22-01,22:00:32,6.04878568649
run_1_22-22-01,22:00:34,114.97933197
run_1_22-22-01,22:00:36,105.688552856
run_1_22-22-01,22:00:38,48.6627197266
run_1_22-22-01,22:00:40,64.2111663818
run_1_22-22-01,22:00:42,77.2552719116
run_1_22-22-01,22:00:44,27.7297420502
run_1_22-22-01,22:00:46,51.1492195129
run_1_22-22-01,22:00:48,105.299339294
run_1_22-22-01,22:00:50,87.0242767334
run_1_22-22-01,22:00:52,143.180160522
run_1_22-22-01,22:00:54,113.729003906
run_1_22-22-01,22:00:56,18.5941390991
run_1_22-22-01,22:00:58,14.1505012512
run_1_22-22-01,22:01:00,44.3303108215
run_1_22-22-01,22:01:02,19.2226753235
run_1_22-22-01,22:01:04,8.40432834625
run_1_22-22-01,22:01:06,86.877166748
run_1_22-22-01,22:01:08,67.6533126831
run_1_22-22-01,22:01:10,63.8348197937
run_1_22-22-01,22:01:12,136.831481934
run_1_22-22-01,22:01:14,53.6044845581
run_1_22-22-01,22:01:16,140.650268555
run_1_22-22-01,22:01:18,39.6345405579
run_1_22-22-01,22:01:20,11.6314239502
run_1_22-22-01,22:01:22,123.206237793
run_1_22-22-01,22:01:24,15.0897693634
run_1_22-22-01,22:01:26,8.23384380341
run_1_22-22-01,22:01:28,37.6878814697
run_1_22-22-01,22:01:30,32.1044273376
run_1_22-22-01,22:01:32,57.9240570068
run_1_22-22-01,22:01:34,98.0767974854
run_1_22-22-01,22:01:36,79.5519638062
run_1_22-22-01,22:01:38,120.3046875
run_1_22-22-01,22:01:40,133.48324585
run_1_22-22-01,22:01:42,55.7618484497
run_1_22-22-01,22:01:44,15.3213653564
run_1_22-22-01,22:01:46,139.407241821
run_1_22-22-01,22:01:48,127.977844238
run_1_22-22-01,22:01:50,136.232452393
run_1_22-22-01,22:01:54,30.3628768921
run_1_22-22-01,22:01:56,107.456977844
run_1_22-22-01,22:01:58,33.8084449768
run_1_22-22-01,22:02:00,62.1619491577
run_1_22-22-01,22:02:02,43.1684761047
run_1_22-22-01,22:02:04,101.640983582
run_1_22-22-01,22:02:06,62.7730560303
run_1_22-22-01,22:02:08,99.6323776245
run_1_22-22-01,22:02:10,111.978553772
run_1_22-22-01,22:02:12,101.854629517
run_1_22-22-01,22:02:14,127.280532837
run_1_22-22-01,22:02:16,100.930770874
run_1_22-22-01,22:02:18,34.048210144
run_1_22-22-01,22:02:20,145.272979736
run_1_22-22-01,22:02:22,113.692085266
run_1_22-22-01,22:02:24,34.0685653687
run_1_22-22-01,22:02:26,57.5501174927
run_1_22-22-01,22:02:28,11.7910327911
run_1_22-22-01,22:02:30,46.7868156433
