sensor,time,value
run_1_22-22-01,21:57:24,114.508094788
run_1_22-22-01,21:57:26,124.167060852
run_1_22-22-01,21:57:28,86.9774246216
run_1_22-22-01,21:57:30,88.3491973877
run_1_22-22-01,21:57:32,136.919570923
run_1_22-22-01,21:57:34,13.3494386673
run_1_22-22-01,21:57:36,8.39887142181
run_1_22-22-01,21:57:38,35.512424469
run_1_22-22-01,21:57:40,66.7593994141
run_1_22-22-01,21:57:42,117.011825562
run_1_22-22-01,21:57:44,57.6939506531
run_1_22-22-01,21:57:46,13.9486713409
run_1_22-22-01,21:57:48,25.2114181519
run_1_22-22-01,21:57:50,22.142988205
run_1_22-22-01,21:57:52,12.9323883057
run_1_22-22-01,21:57:54,16.8891525269
run_1_22-22-01,21:57:56,13.5230693817
run_1_22-22-01,21:57:58,132.256134033
run_1_22-22-01,21:58:00,41.019985199
run_1_22-22-01,21:58:02,143.272613525
run_1_22-22-01,21:58:04,31.2488594055
run_1_22-22-01,21:58:06,149.484237671
run_1_22-22-01,21:58:08,128.794189453
run_1_22-22-01,21:58:10,26.7745075226
run_1_22-22-01,21:58:12,94.3307571411
run_1_22-22-01,21:58:14,140.209213257
run_1_22-22-01,21:58:16,17.2031097412
run_1_22-22-01,21:58:18,99.7965240479
run_1_22-22-01,21:58:20,15.1455125809
run_1_22-22-01,21:58:22,75.7877883911
run_1_22-22-01,21:58:24,87.7353363037
run_1_22-22-01,21:58:26,21.6156044006
run_1_22-22-01,21:58:28,30.5310401917
run_1_22-22-01,21:58:30,50.156703949
run_1_22-22-01,21:58:32,148.432296753
run_1_22-22-01,21:58:34,130.614212036
run_1_22-22-01,21:58:36,45.0202407837
run_1_22-22-01,21:58:38,139.486160278
run_1_22-22-01,21:58:40,26.97016716
run_1_22-22-01,21:58:42,116.617355347
run_1_22-22-01,21:58:44,38.5045127869
run_1_22-22-01,21:58:46,8.29674625397
run_1_22-22-01,21:58:49,116.722015381
run_1_22-22-01,21:58:51,53.1340332031
run_1_22-22-01,21:58:53,23.7830429077
run_1_22-22-01,21:58:55,4.0818696022
run_1_22-22-01,21:58:57,33.9715118408
run_1_22-22-01,21:58:59,0.324921786785
run_1_22-22-01,21:59:01,107.219223022
run_1_22-22-01,21:59:03,66.8668289185
run_1_22-22-01,21:59:05,139.771057129
run_1_22-22-01,21:59:07,12.9874477386
run_1_22-22-01,21:59:09,136.608459473
run_1_22-22-01,21:59:11,91.8676986694
run_1_22-22-01,21:59:13,90.2321929932
run_1_22-22-01,21:59:15,43.4647064209
run_1_22-22-01,21:59:17,50.8639717102
run_1_22-22-01,21:59:19,79.3227386475
run_1_22-22-01,21:59:21,91.83253479
run_1_22-22-01,21:59:23,24.5128974915
run_1_22-22-01,21:59:25,133.350524902
run_1_22-22-01,21:59:27,82.1528778076
run_1_22-22-01,21:59:29,68.6666946411
run_1_22-22-01,21:59:31,65.5801544189
run_1_22-22-01,21:59:33,38.7887954712
run_1_22-22-01,21:59:35,29.4083957672
run_1_22-22-01,21:59:37,59.4080696106
run_1_22-22-01,21:59:39,101.979774475
run_1_22-22-01,21:59:41,80.7059020996
run_1_22-22-01,21:59:43,107.834754944
run_1_22-22-01,21:59:45,51.0496902466
run_1_22-22-01,21:59:47,24.0382347107
run_1_22-22-01,21:59:49,55.7853775024
run_1_22-22-01,21:59:51,30.7381458282
run_1_22-22-01,21:59:53,19.7130870819
run_1_22-22-01,21:59:55,81.7305374146
run_1_22-22-01,21:59:57,115.163414001
run_1_22-22-01,21:59:59,25.9082431793
run_1_22-22-01,22:00:01,81.3827667236
run_1_22-22-01,22:00:03,112.193832397
