sensor,time,value
run_1_22-22-01,21:57:24,73.2706069946
run_1_22-22-01,21:57:26,61.8712463379
run_1_22-22-01,21:57:28,87.737701416
run_1_22-22-01,21:57:30,111.36542511
run_1_22-22-01,21:57:32,50.0636825562
run_1_22-22-01,21:57:34,32.9135322571
run_1_22-22-01,21:57:36,23.3610725403
run_1_22-22-01,21:57:38,74.618637085
run_1_22-22-01,21:57:40,67.7607727051
run_1_22-22-01,21:57:42,39.0971603394
run_1_22-22-01,21:57:44,7.13437175751
run_1_22-22-01,21:57:46,41.3667984009
run_1_22-22-01,21:57:48,91.9685974121
run_1_22-22-01,21:57:50,98.3861923218
run_1_22-22-01,21:57:52,76.495552063
run_1_22-22-01,21:57:54,14.599776268
run_1_22-22-01,21:57:56,35.3448944092
run_1_22-22-01,21:57:58,86.3508682251
run_1_22-22-01,21:58:00,85.1737213135
run_1_22-22-01,21:58:02,104.205551147
run_1_22-22-01,21:58:04,84.0069046021
run_1_22-22-01,21:58:06,36.0185661316
run_1_22-22-01,21:58:08,25.5827522278
run_1_22-22-01,21:58:10,29.6489639282
run_1_22-22-01,21:58:12,52.6312294006
run_1_22-22-01,21:58:14,40.7875061035
run_1_22-22-01,21:58:16,136.553543091
run_1_22-22-01,21:58:18,108.348815918
run_1_22-22-01,21:58:20,85.6723861694
run_1_22-22-01,21:58:22,117.216995239
run_1_22-22-01,21:58:24,97.9904022217
run_1_22-22-01,21:58:26,52.1566772461
run_1_22-22-01,21:58:28,132.54927063
run_1_22-22-01,21:58:30,11.6962718964
run_1_22-22-01,21:58:32,64.7231140137
run_1_22-22-01,21:58:34,106.139541626
run_1_22-22-01,21:58:36,91.2531967163
run_1_22-22-01,21:58:38,1.61856174469
run_1_22-22-01,21:58:40,51.0704650879
run_1_22-22-01,21:58:42,142.265304565
run_1_22-22-01,21:58:44,103.770385742
run_1_22-22-01,21:58:46,68.7397155762
run_1_22-22-01,21:58:49,4.42768669128
run_1_22-22-01,21:58:51,19.2385902405
run_1_22-22-01,21:58:53,128.354034424
run_1_22-22-01,21:58:55,55.4177474976
run_1_22-22-01,21:58:57,11.5425930023
run_1_22-22-01,21:58:59,37.7785949707
run_1_22-22-01,21:59:01,81.2829208374
run_1_22-22-01,21:59:03,21.0186672211
run_1_22-22-01,21:59:05,59.7975692749
run_1_22-22-01,21:59:07,20.3826541901
run_1_22-22-01,21:59:09,46.903793335
run_1_22-22-01,21:59:11,11.1863508224
run_1_22-22-01,21:59:13,103.202728271
run_1_22-22-01,21:59:15,40.139881134
run_1_22-22-01,21:59:17,78.5156173706
run_1_22-22-01,21:59:19,99.4268569946
run_1_22-22-01,21:59:21,109.097709656
run_1_22-22-01,21:59:23,17.8558254242
run_1_22-22-01,21:59:25,18.096321106
run_1_22-22-01,21:59:27,148.99810791
run_1_22-22-01,21:59:29,107.51600647
run_1_22-22-01,21:59:31,104.030319214
run_1_22-22-01,21:59:33,23.5491466522
run_1_22-22-01,21:59:35,25.1827888489
run_1_22-22-01,21:59:37,100.151046753
run_1_22-22-01,21:59:39,59.1176834106
run_1_22-22-01,21:59:41,77.1294555664
run_1_22-22-01,21:59:43,10.7367515564
run_1_22-22-01,21:59:45,57.0254707336
run_1_22-22-01,21:59:47,53.7671699524
run_1_22-22-01,21:59:49,14.8271503448
run_1_22-22-01,21:59:51,65.3569488525
run_1_22-22-01,21:59:53,10.8957147598
run_1_22-22-01,21:59:55,108.143318176
run_1_22-22-01,21:59:57,85.692817688
run_1_22-22-01,21:59:59,53.5694389343
run_1_22-22-01,22:00:01,35.8842735291
run_1_22-22-01,22:00:03,32.9094810486
run_1_22-22-01,22:00:05,3.20036363602
run_1_22-22-01,22:00:08,43.3915710449
run_1_22-22-01,22:00:10,109.36870575
run_1_22-22-01,22:00:12,38.1860542297
run_1_22-22-01,22:00:14,21.3026008606
run_1_22-22-01,22:00:16,146.833618164
run_1_22-22-01,22:00:18,146.18321228
run_1_22-22-01,22:00:20,83.7159576416
run_1_22-22-01,22:00:22,115.882949829
run_1_22-22-01,22:00:24,62.9246177673
run_1_22-22-01,22:00:26,46.6364173889
run_1_22-22-01,22:00:28,48.9526290894
run_1_22-22-01,22:00:30,119.635261536
run_1_22-22-01,22:00:32,112.034332275
run_1_22-22-01,22:00:34,13.7200021744
run_1_22-22-01,22:00:36,40.64686203
run_1_22-22-01,22:00:38,5.2599811554
run_1_22-22-01,22:00:40,42.8010444641
run_1_22-22-01,22:00:42,95.3410110474
run_1_22-22-01,22:00:44,135.232803345
